"","CB","FF","G","O","P","S"
"Burke",536,76,10,56,58,12
"Burnet Tributary",230,21,0,6,13,0
"Burnett",853,7,8,2,62,6
"Cannel",14,0,0,3,0,0
"Charming",590,7,5,5,38,15
"Chasm",376,69,5,23,20,23
"Coal",72,2,0,2,10,0
"Coalbrookedale",25,0,8,1,2,0
"Coorang",300,88,1,2,26,13
"Granity",90,0,23,1,0,0
"Hot",72,0,0,0,2,0
"Italian",1042,83,18,162,77,20
"Kiwi",1131,127,15,35,16,10
"Lankey",918,247,9,93,129,7
"Miller",41,0,0,0,0,0
"Mine",421,0,0,0,1,0
"Murray",221,31,3,3,18,5
"One Horse Creek",1403,201,98,0,103,17
"Packtrack",538,2,0,0,2,0
"Portal",602,0,0,0,0,0
"Stream X",30,0,0,3,2,0
"Stream Y",34,0,0,0,49,2
"Sullivan East",267,1,1,3,8,0
"Sullivan West",93,1,1,2,0,0
"Warne",103,6,36,6,10,0
